Read by,DR Version 10,11/7/2006 17:11,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443,,
Time Zone,-5,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,1834,,
Previously Read,NO,,
Start Time,10/5/2006 20:26,,
Battery Voltage at Start,8.3,,
Gust Speed,53,,
Gust Direction,107,,
Gust Time,10/30/2006 2:40,,
Stop Time,11/1/2006 4:20,,
Battery Voltage at Stop,8.1,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 2A 07 68 3B A1 FF FF FF ,,,
1A 14 05 0A 6A D7 FF FF 3D 4C 28 02 1E 0A 6A FF ,,,
14 04 01 0B 6A D1 FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
10/5/2006 20:20,19.4,3.15,315
10/5/2006 20:30,20.6,3.15,315
10/5/2006 20:40,22.4,3.42,338
10/5/2006 20:50,22,3.1,338
10/5/2006 21:00,22.3,3.37,315
10/5/2006 21:10,20.4,3.9,315
10/5/2006 21:20,22.9,3.53,315
10/5/2006 21:30,22.8,4.06,338
10/5/2006 21:40,23.7,3.74,338
10/5/2006 21:50,21.3,3.74,338
10/5/2006 22:00,22.2,4.12,338
10/5/2006 22:10,24.8,4.22,338
10/5/2006 22:20,23.4,3.96,338
10/5/2006 22:30,24.8,3.48,315
10/5/2006 22:40,26,4.06,338
10/5/2006 22:50,24.3,3.85,338
10/5/2006 23:00,24.8,3.9,338
10/5/2006 23:10,26.2,4.65,338
10/5/2006 23:20,28.2,3.53,338
10/5/2006 23:30,25.7,4.01,338
10/5/2006 23:40,25.3,4.49,338
10/5/2006 23:50,24.4,3.85,338
10/6/2006 0:00,25.7,3.48,338
10/6/2006 0:10,22.2,3.37,315
10/6/2006 0:20,21.9,3.8,338
10/6/2006 0:30,24.7,4.01,315
10/6/2006 0:40,22.4,4.01,338
10/6/2006 0:50,24.9,3.8,338
10/6/2006 1:00,22.6,3.9,338
10/6/2006 1:10,25.4,4.17,338
10/6/2006 1:20,23.6,3.96,338
10/6/2006 1:30,25.5,4.28,338
10/6/2006 1:40,26.2,3.74,338
10/6/2006 1:50,25.3,4.01,338
10/6/2006 2:00,22.8,4.06,338
10/6/2006 2:10,25,3.58,338
10/6/2006 2:20,27.4,3.53,338
10/6/2006 2:30,23.9,3.64,338
10/6/2006 2:40,26.2,4.01,338
10/6/2006 2:50,26.2,4.6,338
10/6/2006 3:00,25.6,4.12,338
10/6/2006 3:10,24.5,4.44,338
10/6/2006 3:20,23.3,4.71,338
10/6/2006 3:30,26.8,3.96,338
10/6/2006 3:40,25.3,3.53,315
10/6/2006 3:50,26,4.01,338
10/6/2006 4:00,23.4,3.9,338
10/6/2006 4:10,23.9,4.49,338
10/6/2006 4:20,26,3.42,338
10/6/2006 4:30,25.5,4.01,338
10/6/2006 4:40,26.1,4.12,338
10/6/2006 4:50,26.9,3.21,338
10/6/2006 5:00,25.1,4.22,338
10/6/2006 5:10,23.7,3.64,315
10/6/2006 5:20,20.6,4.17,315
10/6/2006 5:30,21.7,3.42,315
10/6/2006 5:40,20,3.48,338
10/6/2006 5:50,18.6,2.78,338
10/6/2006 6:00,17.9,2.94,315
10/6/2006 6:10,18.5,3.05,315
10/6/2006 6:20,19,2.73,315
10/6/2006 6:30,18.8,2.83,315
10/6/2006 6:40,17,2.25,315
10/6/2006 6:50,17.9,2.35,315
10/6/2006 7:00,17.5,2.3,315
10/6/2006 7:10,16.1,2.73,315
10/6/2006 7:20,18.2,3.37,315
10/6/2006 7:30,17.7,2.83,315
10/6/2006 7:40,18.5,3.1,315
10/6/2006 7:50,18.5,2.89,315
10/6/2006 8:00,19.4,2.57,315
10/6/2006 8:10,20.5,3.26,315
10/6/2006 8:20,20.1,2.99,315
10/6/2006 8:30,21.6,3.05,315
10/6/2006 8:40,21.3,3.05,315
10/6/2006 8:50,20.1,3.21,315
10/6/2006 9:00,20.5,2.94,315
10/6/2006 9:10,20.8,3.05,315
10/6/2006 9:20,20.9,2.89,315
10/6/2006 9:30,22.2,3.26,315
10/6/2006 9:40,22.2,3.42,315
10/6/2006 9:50,21.9,3.21,315
10/6/2006 10:00,22.8,4.22,315
10/6/2006 10:10,21.1,2.83,315
10/6/2006 10:20,21.4,3.48,338
10/6/2006 10:30,22.2,3.42,315
10/6/2006 10:40,21,3.32,315
10/6/2006 10:50,22.9,3.42,315
10/6/2006 11:00,21.7,3.53,315
10/6/2006 11:10,22.2,3.21,315
10/6/2006 11:20,21.2,3.32,338
10/6/2006 11:30,20.1,3.1,338
10/6/2006 11:40,22,3.1,338
10/6/2006 11:50,20.5,3.21,315
10/6/2006 12:00,20.7,3.1,315
10/6/2006 12:10,22.1,3.1,315
10/6/2006 12:20,21.7,2.94,315
10/6/2006 12:30,21.8,3.37,338
10/6/2006 12:40,22.8,2.99,338
10/6/2006 12:50,21.8,2.83,338
10/6/2006 13:00,20.6,3.32,338
10/6/2006 13:10,21.2,3.32,338
10/6/2006 13:20,22.2,3.15,338
10/6/2006 13:30,20.7,2.67,338
10/6/2006 13:40,19.4,2.51,338
10/6/2006 13:50,20.6,2.3,338
10/6/2006 14:00,21.1,2.94,338
10/6/2006 14:10,20.7,2.25,338
10/6/2006 14:20,20.4,3.26,338
10/6/2006 14:30,20,2.83,338
10/6/2006 14:40,20.8,2.89,338
10/6/2006 14:50,19.5,2.57,338
10/6/2006 15:00,19.8,2.67,338
10/6/2006 15:10,21.3,2.94,338
10/6/2006 15:20,20.3,2.78,338
10/6/2006 15:30,20.7,2.78,338
10/6/2006 15:40,19.5,2.83,338
10/6/2006 15:50,19,2.46,338
10/6/2006 16:00,20.1,2.67,338
10/6/2006 16:10,19.6,3.15,338
10/6/2006 16:20,20.8,2.67,338
10/6/2006 16:30,19.1,3.05,338
10/6/2006 16:40,18.4,2.62,315
10/6/2006 16:50,18.6,2.89,338
10/6/2006 17:00,18.4,2.51,338
10/6/2006 17:10,18.6,2.35,338
10/6/2006 17:20,18.5,2.78,338
10/6/2006 17:30,18.6,2.46,315
10/6/2006 17:40,18.6,2.62,315
10/6/2006 17:50,18.8,2.78,315
10/6/2006 18:00,18.4,2.57,315
10/6/2006 18:10,18.1,2.51,315
10/6/2006 18:20,18.2,2.62,315
10/6/2006 18:30,18.5,2.67,315
10/6/2006 18:40,19.8,3.26,315
10/6/2006 18:50,21.3,2.99,315
10/6/2006 19:00,20.6,2.62,315
10/6/2006 19:10,20.8,3.15,315
10/6/2006 19:20,20.9,2.78,315
10/6/2006 19:30,19.6,2.67,315
10/6/2006 19:40,20.7,2.83,338
10/6/2006 19:50,21.6,2.99,338
10/6/2006 20:00,23,3.42,338
10/6/2006 20:10,20.9,3.42,338
10/6/2006 20:20,21.3,2.94,338
10/6/2006 20:30,20.9,2.57,338
10/6/2006 20:40,22.9,2.94,338
10/6/2006 20:50,21.5,3.32,338
10/6/2006 21:00,22.6,3.1,338
10/6/2006 21:10,22.3,3.53,338
10/6/2006 21:20,23.7,3.32,338
10/6/2006 21:30,23.5,3.85,338
10/6/2006 21:40,24.1,3.58,338
10/6/2006 21:50,23.7,4.44,338
10/6/2006 22:00,25.9,3.9,338
10/6/2006 22:10,26.3,4.28,338
10/6/2006 22:20,28.7,3.74,338
10/6/2006 22:30,29.7,5.29,338
10/6/2006 22:40,27,4.44,338
10/6/2006 22:50,28.7,4.76,338
10/6/2006 23:00,28.3,3.48,338
10/6/2006 23:10,28.5,4.87,338
10/6/2006 23:20,26,4.06,338
10/6/2006 23:30,25.2,4.87,0
