Read by,DR Version 10,10/18/2006 18:58,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443,,
Time Zone,-5,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,8520,,
Previously Read,NO,,
Start Time,8/30/2006 20:46,,
Battery Voltage at Start,8.5,,
Gust Speed,47,,
Gust Direction,307,,
Gust Time,9/15/2006 9:02,,
Stop Time,10/5/2006 20:20,,
Battery Voltage at Stop,8.4,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 48 21 20 51 A1 FF FF FF ,,,
2E 14 1E 08 6A DC FF FF 36 DA 02 09 0F 09 6A FF ,,,
14 14 05 0A 6A D8 FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
8/30/2006 20:40,15.1,2.83,315
8/30/2006 20:50,16.4,2.67,315
8/30/2006 21:00,14.6,2.51,315
8/30/2006 21:10,13.9,2.19,315
8/30/2006 21:20,14.4,2.67,315
8/30/2006 21:30,16.2,2.89,315
8/30/2006 21:40,16.8,2.35,315
8/30/2006 21:50,15.9,3.21,315
8/30/2006 22:00,16.7,3.1,315
8/30/2006 22:10,15.1,3.1,315
8/30/2006 22:20,15.9,3.21,315
8/30/2006 22:30,19.8,3.26,315
8/30/2006 22:40,19,3.26,315
8/30/2006 22:50,18.5,3.1,315
8/30/2006 23:00,21,3.05,315
8/30/2006 23:10,19.4,2.94,315
8/30/2006 23:20,18.6,3.42,315
8/30/2006 23:30,16.2,2.51,338
8/30/2006 23:40,16.9,2.94,338
8/30/2006 23:50,18.3,2.46,338
8/31/2006 0:00,16.1,2.94,338
8/31/2006 0:10,17,2.94,315
8/31/2006 0:20,15.7,2.3,315
8/31/2006 0:30,15.1,2.09,315
8/31/2006 0:40,15.6,2.3,315
8/31/2006 0:50,12.1,2.67,315
8/31/2006 1:00,10.7,2.67,315
8/31/2006 1:10,11.2,1.71,315
8/31/2006 1:20,10,2.14,315
8/31/2006 1:30,10.7,2.3,315
8/31/2006 1:40,11.2,1.76,315
8/31/2006 1:50,11.3,2.46,315
8/31/2006 2:00,10.5,2.62,315
8/31/2006 2:10,13.1,2.3,315
8/31/2006 2:20,14.1,2.3,315
8/31/2006 2:30,16.1,2.35,315
8/31/2006 2:40,18.1,2.67,315
8/31/2006 2:50,16.9,3.1,315
8/31/2006 3:00,18.5,2.67,315
8/31/2006 3:10,21.2,2.78,315
8/31/2006 3:20,20,3.05,338
8/31/2006 3:30,20.6,3.1,338
8/31/2006 3:40,19.4,2.89,338
8/31/2006 3:50,19.1,3.15,338
8/31/2006 4:00,18.7,3.42,338
8/31/2006 4:10,13.8,3.05,338
8/31/2006 4:20,15.2,2.67,338
8/31/2006 4:30,15.1,2.25,338
8/31/2006 4:40,15.1,2.83,315
8/31/2006 4:50,15.8,2.46,315
8/31/2006 5:00,14.1,2.14,315
8/31/2006 5:10,13.8,1.82,338
8/31/2006 5:20,11.8,1.87,338
8/31/2006 5:30,12.8,1.92,315
8/31/2006 5:40,10.5,1.76,315
8/31/2006 5:50,11.3,1.87,315
8/31/2006 6:00,11.4,1.87,315
8/31/2006 6:10,12.5,1.5,315
8/31/2006 6:20,8.9,1.66,338
8/31/2006 6:30,7.6,1.12,338
8/31/2006 6:40,7.7,1.82,315
8/31/2006 6:50,7.3,1.23,315
8/31/2006 7:00,7.6,1.02,293
8/31/2006 7:10,6.3,1.18,270
8/31/2006 7:20,3.1,0.75,248
8/31/2006 7:30,3.5,0.75,270
8/31/2006 7:40,5.6,1.02,270
8/31/2006 7:50,7.2,0.64,270
8/31/2006 8:00,6.9,1.28,293
8/31/2006 8:10,7,0.91,293
8/31/2006 8:20,7.6,0.86,270
8/31/2006 8:30,9,1.02,293
8/31/2006 8:40,9.6,0.96,270
8/31/2006 8:50,11.5,1.23,293
8/31/2006 9:00,11.1,1.5,270
8/31/2006 9:10,10.4,1.71,248
8/31/2006 9:20,9.1,1.55,293
8/31/2006 9:30,8.6,1.39,293
8/31/2006 9:40,9.4,1.18,270
8/31/2006 9:50,9.8,1.23,270
8/31/2006 10:00,8.2,1.18,270
8/31/2006 10:10,7.8,0.7,248
8/31/2006 10:20,7.7,0.8,270
8/31/2006 10:30,7.9,0.7,270
8/31/2006 10:40,8.5,0.75,270
8/31/2006 10:50,8.6,0.7,270
8/31/2006 11:00,9.5,0.8,270
8/31/2006 11:10,11,0.96,270
8/31/2006 11:20,10.2,0.96,270
8/31/2006 11:30,10,1.02,270
8/31/2006 11:40,8.7,1.12,293
8/31/2006 11:50,9.4,1.28,293
8/31/2006 12:00,11.6,1.82,315
8/31/2006 12:10,14.3,1.92,338
8/31/2006 12:20,16.6,1.87,338
8/31/2006 12:30,14.5,2.41,315
8/31/2006 12:40,12.2,1.87,315
8/31/2006 12:50,10.9,1.92,293
8/31/2006 13:00,10.9,1.44,270
8/31/2006 13:10,10.8,1.66,293
8/31/2006 13:20,10.8,1.23,293
8/31/2006 13:30,10.5,1.44,315
8/31/2006 13:40,10,1.28,293
8/31/2006 13:50,9.9,1.39,293
8/31/2006 14:00,10.9,1.18,293
8/31/2006 14:10,11,1.39,293
8/31/2006 14:20,11.4,1.28,293
8/31/2006 14:30,11.4,1.23,293
8/31/2006 14:40,11,1.28,315
8/31/2006 14:50,10.7,1.39,315
8/31/2006 15:00,11.6,1.6,315
8/31/2006 15:10,12.8,1.44,315
8/31/2006 15:20,11,1.66,315
8/31/2006 15:30,10,1.23,315
8/31/2006 15:40,9.4,1.23,293
8/31/2006 15:50,9,1.34,315
8/31/2006 16:00,8.3,1.28,315
8/31/2006 16:10,7.7,1.23,315
8/31/2006 16:20,7.4,1.02,293
8/31/2006 16:30,8.9,1.55,315
8/31/2006 16:40,11.3,1.55,315
8/31/2006 16:50,10.9,1.39,315
8/31/2006 17:00,10.7,1.28,315
8/31/2006 17:10,10,1.23,293
8/31/2006 17:20,9.9,1.34,293
8/31/2006 17:30,9.9,1.12,293
8/31/2006 17:40,9.2,1.34,293
8/31/2006 17:50,9.4,1.44,293
8/31/2006 18:00,8.6,1.34,293
8/31/2006 18:10,9,1.39,293
8/31/2006 18:20,7.2,1.71,315
8/31/2006 18:30,7.1,1.39,315
8/31/2006 18:40,8.8,1.5,315
8/31/2006 18:50,9.7,1.28,315
8/31/2006 19:00,10.2,1.44,315
8/31/2006 19:10,10.1,1.23,338
8/31/2006 19:20,9,1.28,338
8/31/2006 19:30,8.7,1.23,338
8/31/2006 19:40,8.9,1.23,338
8/31/2006 19:50,8.5,1.18,338
8/31/2006 20:00,8.7,1.23,338
8/31/2006 20:10,8.6,1.07,338
8/31/2006 20:20,8.7,1.12,338
8/31/2006 20:30,8.4,1.07,338
8/31/2006 20:40,7.9,1.02,338
8/31/2006 20:50,8.6,1.12,338
8/31/2006 21:00,7.9,0.91,338
8/31/2006 21:10,8,1.18,315
8/31/2006 21:20,8.6,1.23,315
8/31/2006 21:30,9.9,1.02,315
8/31/2006 21:40,9.5,1.02,315
8/31/2006 21:50,9,1.23,293
8/31/2006 22:00,9.9,1.23,293
8/31/2006 22:10,9.1,1.6,293
8/31/2006 22:20,8.1,1.28,315
8/31/2006 22:30,7.2,1.23,315
8/31/2006 22:40,5.4,1.34,315
8/31/2006 22:50,6.9,0.96,315
8/31/2006 23:00,6.6,0.96,315
8/31/2006 23:10,6.7,1.12,315
8/31/2006 23:20,7.1,0.91,293
8/31/2006 23:30,6,1.12,315
8/31/2006 23:40,6.4,1.18,315
8/31/2006 23:50,6.4,1.28,315
