Read by,DR Version 10,6/14/2006 9:28,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443.5,,
Time Zone,0,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,1842,,
Previously Read,NO,,
Start Time,5/1/2006 0:52,,
Battery Voltage at Start,5.2,,
Gust Speed,53,,
Gust Direction,143,,
Gust Time,5/19/2006 2:53,,
Stop Time,6/1/2006 2:00,,
Battery Voltage at Stop,5.2,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 32 07 04 46 A1 FF FF FF ,,,
34 00 01 05 6A 87 FF FF 3D 66 35 02 13 05 6A FF ,,,
00 02 01 06 6A 86 FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
5/1/2006 0:50,16.2,1.76,90
5/1/2006 1:00,17,2.14,90
5/1/2006 1:10,16.3,1.6,90
5/1/2006 1:20,17.9,2.94,90
5/1/2006 1:30,18.2,2.3,90
5/1/2006 1:40,18.1,2.25,90
5/1/2006 1:50,17.5,2.35,90
5/1/2006 2:00,20.2,2.19,90
5/1/2006 2:10,16.2,2.67,90
5/1/2006 2:20,15.7,1.71,90
5/1/2006 2:30,15.2,1.6,68
5/1/2006 2:40,14.9,1.5,68
5/1/2006 2:50,12.2,1.76,68
5/1/2006 3:00,14.3,1.98,90
5/1/2006 3:10,15.9,1.87,90
5/1/2006 3:20,15.3,1.71,90
5/1/2006 3:30,14.7,2.03,90
5/1/2006 3:40,15.8,2.03,90
5/1/2006 3:50,16,2.35,90
5/1/2006 4:00,17.8,2.14,90
5/1/2006 4:10,15.9,2.03,90
5/1/2006 4:20,15.6,2.09,90
5/1/2006 4:30,12.5,1.5,90
5/1/2006 4:40,13.7,1.76,90
5/1/2006 4:50,11.8,1.28,90
5/1/2006 5:00,14,1.98,90
5/1/2006 5:10,14.3,1.6,90
5/1/2006 5:20,14.5,1.82,90
5/1/2006 5:30,13.1,1.28,68
5/1/2006 5:40,13.5,1.44,68
5/1/2006 5:50,12,1.39,68
5/1/2006 6:00,10,1.12,68
5/1/2006 6:10,8.2,1.07,68
5/1/2006 6:20,9.3,1.39,68
5/1/2006 6:30,8.4,1.02,68
5/1/2006 6:40,8.3,0.8,68
5/1/2006 6:50,7.2,0.75,45
5/1/2006 7:00,6.8,0.64,45
5/1/2006 7:10,6.5,0.75,23
5/1/2006 7:20,7.6,0.53,23
5/1/2006 7:30,8.4,0.53,23
5/1/2006 7:40,8.6,0.7,0
5/1/2006 7:50,10.1,0.59,0
5/1/2006 8:00,10.3,0.59,0
5/1/2006 8:10,10.9,0.86,23
5/1/2006 8:20,10.3,0.8,23
5/1/2006 8:30,10.8,0.86,23
5/1/2006 8:40,9.1,1.23,23
5/1/2006 8:50,8.5,0.86,23
5/1/2006 9:00,8.5,1.23,23
5/1/2006 9:10,8.8,0.8,23
5/1/2006 9:20,9.4,0.7,23
5/1/2006 9:30,9.7,0.53,23
5/1/2006 9:40,9.2,0.7,23
5/1/2006 9:50,8.5,0.43,23
5/1/2006 10:00,8.6,0.43,23
5/1/2006 10:10,8.6,0.48,23
5/1/2006 10:20,9.2,0.43,23
5/1/2006 10:30,8.9,0.43,45
5/1/2006 10:40,8.3,0.64,45
5/1/2006 10:50,7.5,0.48,45
5/1/2006 11:00,7.4,0.53,45
5/1/2006 11:10,6.7,0.43,45
5/1/2006 11:20,6.7,0.53,45
5/1/2006 11:30,5.8,0.43,68
5/1/2006 11:40,5.8,0.48,45
5/1/2006 11:50,5.1,0.43,68
5/1/2006 12:00,4.7,0.91,68
5/1/2006 12:10,3.3,0.43,68
5/1/2006 12:20,4,0.37,45
5/1/2006 12:30,4.4,0.43,45
5/1/2006 12:40,5,0.48,45
5/1/2006 12:50,6,0.37,23
5/1/2006 13:00,6.4,0.7,23
5/1/2006 13:10,7.1,0.53,23
5/1/2006 13:20,6.8,0.53,23
5/1/2006 13:30,7,0.43,0
5/1/2006 13:40,7,0.48,0
5/1/2006 13:50,8.5,0.8,0
5/1/2006 14:00,7.4,1.02,23
5/1/2006 14:10,5.5,0.86,23
5/1/2006 14:20,3.6,0.64,23
5/1/2006 14:30,3.6,0.53,23
5/1/2006 14:40,1.5,0.8,45
5/1/2006 14:50,0,0,113
5/1/2006 15:00,1.2,0.43,180
5/1/2006 15:10,2.2,0.43,203
5/1/2006 15:20,3.6,1.12,248
5/1/2006 15:30,5.3,0.37,248
5/1/2006 15:40,6,0.37,248
5/1/2006 15:50,5.8,0.32,248
5/1/2006 16:00,5.9,0.37,248
5/1/2006 16:10,7.3,0.64,248
5/1/2006 16:20,8.9,0.59,248
5/1/2006 16:30,9.3,0.48,248
5/1/2006 16:40,9.7,0.48,248
5/1/2006 16:50,9.7,0.86,248
5/1/2006 17:00,11.7,0.53,248
5/1/2006 17:10,12,0.7,248
5/1/2006 17:20,12.5,1.07,248
5/1/2006 17:30,12.8,0.96,270
5/1/2006 17:40,13.3,1.02,270
5/1/2006 17:50,13.1,1.12,293
5/1/2006 18:00,14,1.18,293
5/1/2006 18:10,13.9,1.39,315
5/1/2006 18:20,13.6,1.39,293
5/1/2006 18:30,13.5,1.34,293
5/1/2006 18:40,13.8,1.5,293
5/1/2006 18:50,13.5,1.44,293
5/1/2006 19:00,13.1,1.23,293
5/1/2006 19:10,14,1.5,293
5/1/2006 19:20,15.5,1.39,293
5/1/2006 19:30,14.7,1.98,293
5/1/2006 19:40,14.1,1.98,315
5/1/2006 19:50,14,2.3,315
5/1/2006 20:00,14.7,1.92,315
5/1/2006 20:10,15.5,2.41,315
5/1/2006 20:20,11.8,1.76,315
5/1/2006 20:30,10.7,1.5,315
5/1/2006 20:40,12.3,1.71,315
5/1/2006 20:50,12.2,1.82,315
5/1/2006 21:00,12.8,1.39,293
5/1/2006 21:10,15.8,1.6,293
5/1/2006 21:20,16.3,2.14,315
5/1/2006 21:30,13.7,1.71,315
5/1/2006 21:40,13.8,1.5,338
5/1/2006 21:50,11.8,1.66,338
5/1/2006 22:00,11.1,1.5,338
5/1/2006 22:10,5.6,2.67,315
5/1/2006 22:20,8.2,0.96,225
5/1/2006 22:30,8.3,1.82,270
5/1/2006 22:40,16.2,2.35,270
5/1/2006 22:50,20.3,1.82,270
5/1/2006 23:00,22.1,2.09,270
5/1/2006 23:10,24.3,2.19,270
5/1/2006 23:20,22.2,2.67,270
5/1/2006 23:30,21,2.46,293
5/1/2006 23:40,21.3,2.51,293
5/1/2006 23:50,19.5,2.51,293
5/2/2006 0:00,22.9,2.67,293
5/2/2006 0:10,22.4,3.42,293
5/2/2006 0:20,24.9,3.21,293
5/2/2006 0:30,22.5,3.42,293
5/2/2006 0:40,22.5,3.26,293
5/2/2006 0:50,24,4.06,315
5/2/2006 1:00,24.3,3.74,315
5/2/2006 1:10,24.6,2.89,315
5/2/2006 1:20,21.6,4.38,315
5/2/2006 1:30,23.9,4.44,315
5/2/2006 1:40,22.2,3.53,315
5/2/2006 1:50,26.5,4.54,315
5/2/2006 2:00,26.9,4.06,315
5/2/2006 2:10,25.5,3.85,315
5/2/2006 2:20,25.4,4.01,338
5/2/2006 2:30,23.6,3.32,315
5/2/2006 2:40,22.4,3.21,315
5/2/2006 2:50,24.9,3.74,338
5/2/2006 3:00,24.3,3.9,338
5/2/2006 3:10,23,2.99,338
5/2/2006 3:20,21.5,2.99,338
5/2/2006 3:30,22.6,3.32,338
5/2/2006 3:40,20.2,3.53,338
5/2/2006 3:50,20.7,3.48,338
5/2/2006 4:00,22,4.22,338
5/2/2006 4:10,27,3.85,338
