Read by,DR Version 10,2/9/2006 9:55,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443.5,,
Time Zone,0,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,1842,,
Previously Read,NO,,
Start Time,1/2/2006 23:20,,
Battery Voltage at Start,8.1,,
Gust Speed,59,,
Gust Direction,121,,
Gust Time,1/23/2006 23:33,,
Stop Time,1/31/2006 21:30,,
Battery Voltage at Stop,7.8,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 32 07 3C 41 A1 FF FF FF ,,,
14 17 02 01 6A D1 FF FF 44 56 21 17 17 01 6A FF ,,,
1E 15 1F 01 6A CA FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
1/3/2006 11:20,5.4,1.07,225
1/3/2006 11:30,5.4,1.18,225
1/3/2006 11:40,1.1,0.91,225
1/3/2006 11:50,0,0,225
1/3/2006 12:00,0,0,225
1/3/2006 12:10,0,0,225
1/3/2006 12:20,0,0,225
1/3/2006 12:30,0,0,225
1/3/2006 12:40,0,0,225
1/3/2006 12:50,0,0,225
1/3/2006 13:00,0,0,225
1/3/2006 13:10,0,0,225
1/3/2006 13:20,0,0,225
1/3/2006 13:30,0,0,225
1/3/2006 13:40,0,0,225
1/3/2006 13:50,0,0,225
1/3/2006 14:00,0,0,225
1/3/2006 14:10,0,0,225
1/3/2006 14:20,0,0,225
1/3/2006 14:30,0,0,225
1/3/2006 14:40,0,0,248
1/3/2006 14:50,0,0,248
1/3/2006 15:00,0,0,248
1/3/2006 15:10,0,0,248
1/3/2006 15:20,0,0,248
1/3/2006 15:30,0,0,248
1/3/2006 15:40,0,0,270
1/3/2006 15:50,0,0,270
1/3/2006 16:00,0,0,293
1/3/2006 16:10,0,0,293
1/3/2006 16:20,0,0,293
1/3/2006 16:30,0,0,293
1/3/2006 16:40,0,0,293
1/3/2006 16:50,0,0,293
1/3/2006 17:00,0,0,293
1/3/2006 17:10,0,0,293
1/3/2006 17:20,2.8,2.83,293
1/3/2006 17:30,5.9,0.8,293
1/3/2006 17:40,6.4,0.7,270
1/3/2006 17:50,6.5,0.64,270
1/3/2006 18:00,5.6,0.75,270
1/3/2006 18:10,5,0.64,270
1/3/2006 18:20,2.9,1.92,270
1/3/2006 18:30,1.5,1.02,270
1/3/2006 18:40,1.2,0.8,248
1/3/2006 18:50,1.1,0.75,248
1/3/2006 19:00,4.1,0.48,248
1/3/2006 19:10,4.7,1.07,225
1/3/2006 19:20,5,0.64,225
1/3/2006 19:30,4.9,0.8,203
1/3/2006 19:40,3.5,1.28,203
1/3/2006 19:50,3.3,0.7,180
1/3/2006 20:00,4.8,0.7,180
1/3/2006 20:10,6.3,0.8,158
1/3/2006 20:20,7.2,0.8,158
1/3/2006 20:30,7.5,0.8,158
1/3/2006 20:40,6.7,0.8,158
1/3/2006 20:50,7.2,0.8,135
1/3/2006 21:00,7.5,0.91,135
1/3/2006 21:10,9.3,0.8,135
1/3/2006 21:20,10,0.96,113
1/3/2006 21:30,10.6,0.91,113
1/3/2006 21:40,12.1,1.07,113
1/3/2006 21:50,13.1,1.18,113
1/3/2006 22:00,13.9,1.23,113
1/3/2006 22:10,14.8,1.39,113
1/3/2006 22:20,16.3,1.6,113
1/3/2006 22:30,16.2,1.39,135
1/3/2006 22:40,15.9,1.39,135
1/3/2006 22:50,18.7,2.09,135
1/3/2006 23:00,19.3,1.92,135
1/3/2006 23:10,19.8,1.87,135
1/3/2006 23:20,19.8,2.03,135
1/3/2006 23:30,19.2,1.87,135
1/3/2006 23:40,19.3,1.98,135
1/3/2006 23:50,19.3,2.14,135
1/4/2006 0:00,19.1,1.82,135
1/4/2006 0:10,21,2.51,135
1/4/2006 0:20,20.9,2.41,135
1/4/2006 0:30,21.4,2.67,135
1/4/2006 0:40,21.2,2.09,135
1/4/2006 0:50,21.4,2.14,135
1/4/2006 1:00,21.6,2.03,135
1/4/2006 1:10,21.7,2.3,113
1/4/2006 1:20,24.1,2.14,135
1/4/2006 1:30,22.9,2.25,135
1/4/2006 1:40,23.1,2.83,135
1/4/2006 1:50,23.7,2.51,135
1/4/2006 2:00,24.3,1.98,135
1/4/2006 2:10,23.8,3.21,135
1/4/2006 2:20,24.4,2.46,113
1/4/2006 2:30,21.5,2.09,113
1/4/2006 2:40,25.3,2.57,113
1/4/2006 2:50,24.9,2.25,113
1/4/2006 3:00,27.6,3.48,113
1/4/2006 3:10,27.4,2.67,113
1/4/2006 3:20,22.9,3.32,113
1/4/2006 3:30,22.7,2.73,113
1/4/2006 3:40,21.4,2.41,113
1/4/2006 3:50,22.2,2.25,113
1/4/2006 4:00,23.3,2.67,113
1/4/2006 4:10,22.8,2.51,113
1/4/2006 4:20,20.1,2.62,113
1/4/2006 4:30,19.8,2.62,113
1/4/2006 4:40,19.4,2.03,113
1/4/2006 4:50,19.1,2.78,113
1/4/2006 5:00,19.9,2.67,113
1/4/2006 5:10,18.5,2.41,113
1/4/2006 5:20,17.9,1.66,113
1/4/2006 5:30,18.4,1.76,113
1/4/2006 5:40,16.8,2.09,113
1/4/2006 5:50,18.9,1.98,113
1/4/2006 6:00,18.5,2.25,113
1/4/2006 6:10,16,1.92,113
1/4/2006 6:20,14.8,1.39,113
1/4/2006 6:30,13.1,1.12,113
1/4/2006 6:40,12,1.02,113
1/4/2006 6:50,10.9,1.07,113
1/4/2006 7:00,9.4,0.7,113
1/4/2006 7:10,8.4,0.59,113
1/4/2006 7:20,9.3,0.53,113
1/4/2006 7:30,10.7,0.86,113
1/4/2006 7:40,10.7,0.8,113
1/4/2006 7:50,10,0.75,113
1/4/2006 8:00,11.5,0.8,113
1/4/2006 8:10,11.5,0.75,113
1/4/2006 8:20,12.1,1.02,113
1/4/2006 8:30,12.5,1.18,113
1/4/2006 8:40,12.9,1.34,113
1/4/2006 8:50,13.9,1.5,113
1/4/2006 9:00,14,1.39,113
1/4/2006 9:10,15,1.23,90
1/4/2006 9:20,14.8,1.34,90
1/4/2006 9:30,16.6,1.76,113
1/4/2006 9:40,17.2,1.82,113
1/4/2006 9:50,15.4,1.87,113
1/4/2006 10:00,16,1.6,113
1/4/2006 10:10,17.5,1.66,113
1/4/2006 10:20,18,1.87,113
1/4/2006 10:30,18.6,1.98,113
1/4/2006 10:40,18.6,1.6,113
1/4/2006 10:50,19,2.14,113
1/4/2006 11:00,18.2,1.92,113
1/4/2006 11:10,21.6,2.89,113
1/4/2006 11:20,21.5,2.46,113
1/4/2006 11:30,22.3,2.35,113
1/4/2006 11:40,22.8,1.92,113
1/4/2006 11:50,25,2.67,113
1/4/2006 12:00,23.1,2.3,113
1/4/2006 12:10,22.5,2.99,113
1/4/2006 12:20,23.5,2.41,113
1/4/2006 12:30,23,1.98,113
1/4/2006 12:40,23.2,2.46,113
1/4/2006 12:50,21.2,2.19,113
1/4/2006 13:00,21.4,2.14,113
1/4/2006 13:10,20.7,2.14,113
1/4/2006 13:20,19.3,1.87,113
1/4/2006 13:30,22.4,2.73,113
1/4/2006 13:40,22.9,2.35,113
1/4/2006 13:50,20.8,2.41,113
1/4/2006 14:00,22.4,2.25,113
1/4/2006 14:10,19.3,2.35,113
1/4/2006 14:20,19.4,2.51,113
1/4/2006 14:30,18.8,2.51,113
1/4/2006 14:40,18.1,1.87,113
1/4/2006 14:50,19.2,2.83,113
1/4/2006 15:00,16,1.71,113
1/4/2006 15:10,16.4,1.5,113
1/4/2006 15:20,14.9,1.39,90
1/4/2006 15:30,12,1.66,90
