Read by,DR Version 10,2/8/2007 11:03,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443,,
Time Zone,-5,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,1834,,
Previously Read,NO,,
Start Time,12/3/2006 21:51,,
Battery Voltage at Start,7.8,,
Gust Speed,44,,
Gust Direction,101,,
Gust Time,12/14/2006 2:11,,
Stop Time,1/1/2007 22:10,,
Battery Voltage at Stop,7.8,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 2A 07 70 41 A1 FF FF FF ,,,
33 15 03 0C 6A C9 FF FF 32 48 0B 02 0E 0C 6A FF ,,,
0A 16 01 01 6B C8 FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
12/3/2006 21:50,15.8,2.14,113
12/3/2006 22:00,17.1,2.99,113
12/3/2006 22:10,18.2,2.62,135
12/3/2006 22:20,19.2,3.21,135
12/3/2006 22:30,23.5,3.15,135
12/3/2006 22:40,22.3,3.32,135
12/3/2006 22:50,23.9,3.37,135
12/3/2006 23:00,25.4,3.42,135
12/3/2006 23:10,27,3.21,135
12/3/2006 23:20,26.8,3.15,135
12/3/2006 23:30,24.1,2.83,135
12/3/2006 23:40,23.4,3.05,113
12/3/2006 23:50,21.8,2.25,113
12/4/2006 0:00,23.2,2.94,113
12/4/2006 0:10,20.7,2.57,135
12/4/2006 0:20,21.6,3.05,113
12/4/2006 0:30,21,3.32,113
12/4/2006 0:40,22.7,2.67,113
12/4/2006 0:50,20.2,2.41,113
12/4/2006 1:00,21.8,2.35,113
12/4/2006 1:10,23.2,2.73,113
12/4/2006 1:20,22.6,1.92,113
12/4/2006 1:30,20.9,2.89,135
12/4/2006 1:40,21.8,2.46,113
12/4/2006 1:50,20.2,2.41,113
12/4/2006 2:00,20.9,2.25,113
12/4/2006 2:10,20.3,2.14,113
12/4/2006 2:20,22.5,2.89,113
12/4/2006 2:30,21.5,2.3,113
12/4/2006 2:40,23,2.25,113
12/4/2006 2:50,21,2.73,113
12/4/2006 3:00,21.9,2.73,113
12/4/2006 3:10,19.9,3.05,113
12/4/2006 3:20,20.9,3.1,113
12/4/2006 3:30,20.1,13.63,113
12/4/2006 3:40,20.3,2.25,113
12/4/2006 3:50,18.3,2.09,113
12/4/2006 4:00,17.8,2.09,135
12/4/2006 4:10,17.2,2.41,135
12/4/2006 4:20,18.3,2.25,135
12/4/2006 4:30,18.5,2.35,135
12/4/2006 4:40,14.8,1.82,113
12/4/2006 4:50,15.3,1.82,135
12/4/2006 5:00,13.6,1.71,135
12/4/2006 5:10,13.5,1.55,135
12/4/2006 5:20,10.4,1.5,135
12/4/2006 5:30,9.4,1.39,135
12/4/2006 5:40,8.6,1.55,135
12/4/2006 5:50,9.3,1.02,135
12/4/2006 6:00,8.7,0.64,135
12/4/2006 6:10,9.2,0.75,158
12/4/2006 6:20,9.8,0.59,158
12/4/2006 6:30,8.7,0.7,158
12/4/2006 6:40,6.3,1.28,180
12/4/2006 6:50,8.4,1.07,158
12/4/2006 7:00,8.1,0.91,158
12/4/2006 7:10,6.6,0.7,158
12/4/2006 7:20,6.3,0.8,180
12/4/2006 7:30,6.7,0.64,180
12/4/2006 7:40,5.2,0.96,180
12/4/2006 7:50,4.6,0.59,203
12/4/2006 8:00,4,0.48,203
12/4/2006 8:10,4.5,0.59,203
12/4/2006 8:20,5.1,0.7,203
12/4/2006 8:30,5.1,0.53,203
12/4/2006 8:40,4.8,0.48,225
12/4/2006 8:50,6.2,0.43,225
12/4/2006 9:00,5.4,0.48,203
12/4/2006 9:10,5.8,0.7,248
12/4/2006 9:20,4.5,0.86,225
12/4/2006 9:30,4.8,0.53,248
12/4/2006 9:40,6.6,0.96,248
12/4/2006 9:50,6.6,0.75,270
12/4/2006 10:00,6.7,0.59,270
12/4/2006 10:10,7.9,0.86,270
12/4/2006 10:20,9.2,0.48,270
12/4/2006 10:30,8.4,0.96,270
12/4/2006 10:40,6.4,1.18,293
12/4/2006 10:50,7.8,1.34,293
12/4/2006 11:00,11.4,1.07,270
12/4/2006 11:10,10.9,0.96,293
12/4/2006 11:20,10.6,1.18,293
12/4/2006 11:30,11,1.12,293
12/4/2006 11:40,12.4,1.55,293
12/4/2006 11:50,15.2,1.39,315
12/4/2006 12:00,15,1.44,293
12/4/2006 12:10,14.3,1.34,293
12/4/2006 12:20,14.6,1.39,293
12/4/2006 12:30,14.8,1.55,315
12/4/2006 12:40,15.3,1.5,293
12/4/2006 12:50,13.7,1.34,315
12/4/2006 13:00,14.5,1.5,315
12/4/2006 13:10,14.9,1.76,315
12/4/2006 13:20,15.6,1.6,315
12/4/2006 13:30,14.6,1.6,315
12/4/2006 13:40,16.1,1.71,293
12/4/2006 13:50,17.4,1.71,293
12/4/2006 14:00,17.4,1.76,293
12/4/2006 14:10,18.3,1.82,315
12/4/2006 14:20,18.5,1.98,315
12/4/2006 14:30,18.2,2.3,315
12/4/2006 14:40,16.8,2.09,315
12/4/2006 14:50,18.4,2.03,315
12/4/2006 15:00,18.6,2.14,315
12/4/2006 15:10,17.2,1.87,315
12/4/2006 15:20,17,1.66,315
12/4/2006 15:30,17.7,2.03,315
12/4/2006 15:40,17.6,2.14,293
12/4/2006 15:50,16.9,1.87,293
12/4/2006 16:00,15.8,1.82,293
12/4/2006 16:10,15.8,1.92,315
12/4/2006 16:20,17.5,2.14,315
12/4/2006 16:30,19.8,2.41,315
12/4/2006 16:40,18.7,2.62,315
12/4/2006 16:50,18.4,2.41,315
12/4/2006 17:00,18.2,2.51,315
12/4/2006 17:10,20,2.51,315
12/4/2006 17:20,20.4,2.35,315
12/4/2006 17:30,20.3,2.94,315
12/4/2006 17:40,20.3,2.78,315
12/4/2006 17:50,21.9,2.57,315
12/4/2006 18:00,22.6,2.67,315
12/4/2006 18:10,21.1,2.3,315
12/4/2006 18:20,21.2,2.46,315
12/4/2006 18:30,22.5,2.94,315
12/4/2006 18:40,22.1,2.14,315
12/4/2006 18:50,19.4,2.46,315
12/4/2006 19:00,19.9,2.19,315
12/4/2006 19:10,20.1,2.14,315
12/4/2006 19:20,18.6,2.14,315
12/4/2006 19:30,19,1.98,338
12/4/2006 19:40,20.2,2.09,338
12/4/2006 19:50,17.4,3.21,338
12/4/2006 20:00,17.1,2.19,338
12/4/2006 20:10,18.4,1.98,338
12/4/2006 20:20,18.4,1.82,338
12/4/2006 20:30,17.2,1.6,338
12/4/2006 20:40,17.9,1.71,338
12/4/2006 20:50,19.1,1.71,338
12/4/2006 21:00,17.4,2.19,338
12/4/2006 21:10,18.3,1.92,338
12/4/2006 21:20,18.6,1.87,338
12/4/2006 21:30,17.1,1.82,338
12/4/2006 21:40,16.7,1.82,338
12/4/2006 21:50,15.5,1.5,338
12/4/2006 22:00,16.7,1.71,338
12/4/2006 22:10,15.8,1.92,338
12/4/2006 22:20,15.4,1.55,338
12/4/2006 22:30,15.9,1.5,338
12/4/2006 22:40,15.3,1.76,338
12/4/2006 22:50,14.9,1.55,338
12/4/2006 23:00,13.5,2.14,0
12/4/2006 23:10,13.4,1.82,0
12/4/2006 23:20,14.3,1.82,0
12/4/2006 23:30,14.4,1.66,0
12/4/2006 23:40,12.1,1.55,23
12/4/2006 23:50,13.3,1.6,23
12/5/2006 0:00,11.3,1.12,23
12/5/2006 0:10,9.1,1.39,23
12/5/2006 0:20,9.7,1.28,23
12/5/2006 0:30,8.8,1.02,23
12/5/2006 0:40,8.2,0.91,23
12/5/2006 0:50,8.9,1.02,23
