Read by,DR Version 10,9/26/2006 20:23,
Site,933,,
Site Description,Beresford,,
Project Code,New,,
Project Description,WAPA Anemometer Loan Program,,
Location Description,"Beresford, SD, 57004",,
Site Elevation,1443,,
Time Zone,-5,,
Latitude,43.0889,,
Longitude,96.7869,,
Units,English,,
Logger Model Number,2333,,
Logger Serial Number,933,,
Logger Firmware Version,9,,
DataPlug Serial Number,1834,,
Previously Read,NO,,
Start Time,7/31/2006 19:26,,
Battery Voltage at Start,8.7,,
Gust Speed,43,,
Gust Direction,249,,
Gust Time,8/18/2006 2:23,,
Stop Time,8/30/2006 20:40,,
Battery Voltage at Stop,8.6,,
[Channel01],,,
Sensor Type,1,,
Description,NRG #40 Maximum Anemometer,,
S/N,None,,
Height,66,,
Scale Factor,1.711,,
Offset,0.78,,
Print Precision,###.#,,
Units,mph,,
[Channel02],,,
Sensor Type,4,,
Description,NRG #200P Wind Direction Vane,,
S/N,None,,
Height,66,,
Scale Factor,1,,
Offset,0,,
Print Precision,###,,
Units,Degrees,,
[Channel03],,,
Sensor Type,6,,
Description,NRG #110S Temperature Sensor,,
S/N,None,,
Height,0,,
Scale Factor,1,,
Offset,-123.5,,
Print Precision,###.#,,
Units,Degrees F,,
,,,
Raw Header:,,,
33 09 33 09 33 23 09 02 2A 07 C8 43 A1 FF FF FF ,,,
1A 13 1F 07 6A E1 FF FF 31 B1 17 02 12 08 6A FF ,,,
28 14 1E 08 6A DD FF FF ,,,
Time Stamp,Average Speed,Standard Deviation,Average Direction
7/31/2006 19:20,8.6,1.87,248
7/31/2006 19:30,8.7,1.66,248
7/31/2006 19:40,9.3,1.23,248
7/31/2006 19:50,9.5,1.07,248
7/31/2006 20:00,9.3,1.23,270
7/31/2006 20:10,10.3,1.23,270
7/31/2006 20:20,10.9,1.28,270
7/31/2006 20:30,9.4,1.23,270
7/31/2006 20:40,9.1,1.18,270
7/31/2006 20:50,10.2,1.23,270
7/31/2006 21:00,10,1.18,293
7/31/2006 21:10,9.2,1.66,293
7/31/2006 21:20,9.6,1.5,315
7/31/2006 21:30,8.5,1.71,293
7/31/2006 21:40,10.9,1.55,293
7/31/2006 21:50,11.2,2.46,270
7/31/2006 22:00,8.9,1.6,293
7/31/2006 22:10,9.8,1.71,315
7/31/2006 22:20,9.8,1.66,315
7/31/2006 22:30,7.7,1.34,338
7/31/2006 22:40,9.3,1.76,0
7/31/2006 22:50,9.5,1.39,0
7/31/2006 23:00,7.5,1.5,338
7/31/2006 23:10,8.9,1.28,338
7/31/2006 23:20,9.7,1.92,0
7/31/2006 23:30,12.5,1.87,0
7/31/2006 23:40,12.1,1.82,23
7/31/2006 23:50,10.9,1.5,23
8/1/2006 0:00,12,1.98,23
8/1/2006 0:10,13.3,1.92,45
8/1/2006 0:20,12.5,1.82,45
8/1/2006 0:30,12.3,1.6,45
8/1/2006 0:40,11.5,1.66,45
8/1/2006 0:50,9.3,1.76,45
8/1/2006 1:00,7.5,1.44,45
8/1/2006 1:10,7,1.12,45
8/1/2006 1:20,7.1,1.92,90
8/1/2006 1:30,4.3,1.76,113
8/1/2006 1:40,2.1,1.55,90
8/1/2006 1:50,2.4,1.6,68
8/1/2006 2:00,2.7,2.09,45
8/1/2006 2:10,2,1.6,23
8/1/2006 2:20,1.9,1.55,338
8/1/2006 2:30,4.6,1.76,338
8/1/2006 2:40,5.1,1.71,315
8/1/2006 2:50,6.1,1.92,338
8/1/2006 3:00,6.2,1.82,338
8/1/2006 3:10,6.8,1.66,315
8/1/2006 3:20,6.4,2.83,0
8/1/2006 3:30,7.6,3.05,23
8/1/2006 3:40,7.4,1.6,0
8/1/2006 3:50,4.8,2.09,338
8/1/2006 4:00,4.8,1.82,45
8/1/2006 4:10,6.7,1.44,90
8/1/2006 4:20,6.6,2.35,113
8/1/2006 4:30,5.9,1.92,113
8/1/2006 4:40,4.2,1.98,113
8/1/2006 4:50,6.9,2.03,90
8/1/2006 5:00,9,1.6,113
8/1/2006 5:10,9.7,3.05,135
8/1/2006 5:20,13.3,1.92,135
8/1/2006 5:30,8.9,3.58,135
8/1/2006 5:40,14.6,3.9,315
8/1/2006 5:50,10.4,1.6,270
8/1/2006 6:00,8.5,1.39,248
8/1/2006 6:10,9,1.34,248
8/1/2006 6:20,7.5,1.98,225
8/1/2006 6:30,6.9,1.23,203
8/1/2006 6:40,7.5,0.86,203
8/1/2006 6:50,6,1.76,203
8/1/2006 7:00,13.6,3.9,180
8/1/2006 7:10,13.4,2.89,180
8/1/2006 7:20,9.1,1.71,158
8/1/2006 7:30,8.2,2.46,203
8/1/2006 7:40,5.9,1.44,225
8/1/2006 7:50,7.1,1.28,225
8/1/2006 8:00,7.9,0.8,225
8/1/2006 8:10,8.5,1.18,248
8/1/2006 8:20,7.4,3.1,270
8/1/2006 8:30,7.8,4.17,180
8/1/2006 8:40,15.6,3.21,203
8/1/2006 8:50,15.1,2.09,225
8/1/2006 9:00,14.7,1.82,225
8/1/2006 9:10,11.6,1.82,225
8/1/2006 9:20,12,2.03,225
8/1/2006 9:30,13.7,2.73,225
8/1/2006 9:40,14.9,2.35,225
8/1/2006 9:50,14.5,1.98,225
8/1/2006 10:00,13.8,2.3,225
8/1/2006 10:10,12.1,2.03,225
8/1/2006 10:20,12.5,2.3,225
8/1/2006 10:30,13.6,2.89,203
8/1/2006 10:40,13.8,2.41,203
8/1/2006 10:50,13.1,2.62,203
8/1/2006 11:00,13.8,2.62,225
8/1/2006 11:10,16.2,2.14,225
8/1/2006 11:20,16.5,2.51,248
8/1/2006 11:30,14.1,2.09,248
8/1/2006 11:40,11.3,2.99,225
8/1/2006 11:50,14.3,2.41,158
8/1/2006 12:00,12.2,1.39,225
8/1/2006 12:10,15.7,2.14,248
8/1/2006 12:20,16.5,2.03,270
8/1/2006 12:30,14,2.09,270
8/1/2006 12:40,10,2.35,270
8/1/2006 12:50,7.5,1.28,225
8/1/2006 13:00,6.1,1.28,225
8/1/2006 13:10,4.2,1.5,203
8/1/2006 13:20,3.2,1.28,180
8/1/2006 13:30,15.1,4.97,113
8/1/2006 13:40,17.2,2.14,135
8/1/2006 13:50,14.8,2.03,158
8/1/2006 14:00,12,2.51,180
8/1/2006 14:10,12.4,2.41,203
8/1/2006 14:20,10.9,2.09,203
8/1/2006 14:30,9.5,1.82,203
8/1/2006 14:40,7.9,1.28,203
8/1/2006 14:50,8.1,1.39,225
8/1/2006 15:00,8.7,0.96,248
8/1/2006 15:10,10.1,1.18,248
8/1/2006 15:20,6.6,1.6,270
8/1/2006 15:30,7.1,1.76,248
8/1/2006 15:40,5.5,1.12,293
8/1/2006 15:50,6.2,3.8,23
8/1/2006 16:00,7.7,1.07,90
8/1/2006 16:10,6.1,1.18,90
8/1/2006 16:20,6.1,0.75,90
8/1/2006 16:30,7.1,1.07,113
8/1/2006 16:40,7.9,1.18,113
8/1/2006 16:50,5.8,1.39,113
8/1/2006 17:00,6,1.66,113
8/1/2006 17:10,9.3,1.12,135
8/1/2006 17:20,9.1,0.96,135
8/1/2006 17:30,9,1.34,135
8/1/2006 17:40,9.9,1.23,135
8/1/2006 17:50,11,2.09,135
8/1/2006 18:00,13.5,2.09,135
8/1/2006 18:10,12.5,2.14,158
8/1/2006 18:20,13.4,1.76,135
8/1/2006 18:30,12.7,1.82,158
8/1/2006 18:40,11.3,2.03,158
8/1/2006 18:50,13.3,1.92,158
8/1/2006 19:00,13.6,1.98,158
8/1/2006 19:10,13.2,1.82,158
8/1/2006 19:20,13.1,2.09,158
8/1/2006 19:30,14.7,1.98,158
8/1/2006 19:40,13.8,2.25,158
8/1/2006 19:50,13.9,2.35,158
8/1/2006 20:00,14.8,2.14,180
8/1/2006 20:10,11.7,1.92,180
8/1/2006 20:20,9.7,1.76,180
8/1/2006 20:30,9.1,1.76,180
8/1/2006 20:40,8.1,1.55,158
8/1/2006 20:50,8.9,1.18,158
8/1/2006 21:00,10.5,1.76,158
8/1/2006 21:10,12.2,2.03,158
8/1/2006 21:20,10.4,1.66,158
8/1/2006 21:30,11.5,1.55,158
8/1/2006 21:40,12.4,1.87,158
8/1/2006 21:50,12.3,1.98,158
8/1/2006 22:00,9.7,1.39,158
8/1/2006 22:10,12.2,2.03,180
8/1/2006 22:20,14.1,1.44,158
8/1/2006 22:30,11.6,1.6,180
